time,tps,cpuusage,memoryused,memorytotal,memoryfree,pingaverage,pingmedian,pingmin,pingmax,playeronline,playermax
1677125828702,20,0.06,1306,2468,1161,18,18,18,18,1,32
1677125888701,20,0.05,1558,2468,909,15,15,15,15,1,32
1677125948701,20,0.06,1430,2468,1037,15,15,15,15,1,32
1677126008702,20,0.05,1268,2468,1199,15,15,15,15,1,32
1677126068702,20,0.06,1341,2468,1126,15,15,15,15,1,32
1677126128701,20,0.05,1618,2468,849,15,15,15,15,1,32
1677126188701,20,0.06,1352,2468,1115,16,16,16,16,1,32
1677126248701,20,0.07,1606,2468,861,15,15,15,15,1,32
1677126308701,20,0.06,1861,2468,606,15,15,15,15,1,32
1677126368702,20,0.05,1493,2468,974,15,15,15,15,1,32
1677126428702,20,0.06,1285,2468,1182,16,16,16,16,1,32
1677126488702,20,0.06,1468,2468,999,0,0,0,0,0,32
1677126548701,20,0.05,1526,2468,941,0,0,0,0,0,32
1677126608704,20,0.06,1584,2468,883,0,0,0,0,0,32
1677126668702,20,0.04,1639,2468,828,0,0,0,0,0,32
1677126728702,20,0.06,1696,2468,771,0,0,0,0,0,32
1677126788702,20,0.05,1756,2468,711,0,0,0,0,0,32
1677126848701,20,0.06,1812,2468,655,0,0,0,0,0,32
1677126908705,20,0.04,1870,2468,597,0,0,0,0,0,32
1677126968700,20,0.04,1926,2468,541,0,0,0,0,0,32
1677127028705,20,0.14,1396,2468,1071,4,4,4,4,1,32
1677127088703,20,0.06,1746,2468,721,11,11,11,11,1,32
1677127148702,20,0.07,1526,2468,941,13,13,13,13,1,32
1677127208703,20,0.05,1453,2468,1014,15,15,15,15,1,32
1677127268701,20,0.07,1365,2468,1102,15,15,15,15,1,32
1677127328724,20,0.13,1703,2468,764,0,0,0,0,0,32
1677127388700,20,0.13,1410,2468,1057,0,0,0,0,1,32
1677127448708,20,0.07,1393,2468,1073,0,0,0,0,0,32
1677127508702,20,0.05,1478,2468,989,0,0,0,0,0,32
1677127568709,20,0.16,1469,2468,998,0,0,0,0,0,32
1677127628701,20,0.06,1476,2468,991,0,0,0,0,1,32
1677127688703,20,0.11,1535,2468,932,0,0,0,0,0,32
1677127748701,20,0.06,1635,2468,832,0,0,0,0,0,32
1677127808705,20,0.07,1477,2468,990,0,0,0,0,0,32
1677127868702,20,0.06,1580,2468,887,0,0,0,0,0,32
1677127928703,20,0.05,1690,2468,777,0,0,0,0,0,32
1677127988702,20,0.05,1804,2468,663,0,0,0,0,0,32
1677128048702,20,0.06,1422,2468,1045,0,0,0,0,0,32
1677128108700,20,0.08,1526,2468,941,0,0,0,0,0,32
1677128168703,20,0.09,1630,2468,837,0,0,0,0,0,32
1677128228703,20,0.06,1735,2468,732,0,0,0,0,0,32
1677128307275,20,0.92,464,3072,2607,0,0,0,0,0,32
1677128367185,20.04,0.35,767,3072,2304,7,7,7,7,1,32
1677128427186,20,0.11,801,3072,2270,14,14,14,14,1,32
1677128487184,20,0.05,676,3072,2395,0,0,0,0,0,32
1677128547186,20,0.04,768,3072,2303,0,0,0,0,0,32
1677128607185,20,0.04,863,3072,2208,0,0,0,0,0,32
1677128667186,20,0.05,1059,3072,2012,0,0,0,0,0,32
1677128727192,20,0.04,1187,3072,1884,0,0,0,0,0,32
1677128787187,20,0.04,1267,3072,1804,0,0,0,0,0,32
1677128847187,20,0.04,1348,3072,1723,0,0,0,0,0,32
1677128907187,20,0.03,638,3072,2433,0,0,0,0,0,32
1677128967187,20,0.04,721,3072,2350,0,0,0,0,0,32
1677129027185,20,0.05,798,3072,2273,0,0,0,0,0,32
1677129087186,20,0.03,878,3072,2193,0,0,0,0,0,32
1677129147185,20,0.04,956,3072,2115,0,0,0,0,0,32
1677129207187,20,0.04,1037,3072,2034,0,0,0,0,0,32
1677129267185,20,0.04,665,3072,2406,0,0,0,0,0,32
1677129327190,20,0.03,744,3072,2327,0,0,0,0,0,32
1677129387185,20,0.03,824,3072,2247,0,0,0,0,0,32
1677129447187,20,0.03,907,3072,2164,0,0,0,0,0,32
1677129507187,20,0.03,988,3072,2083,0,0,0,0,0,32
1677129567186,20,0.03,1074,3072,1997,0,0,0,0,0,32
1677129627185,20,0.03,1150,3072,1921,0,0,0,0,0,32
1677129687188,20,0.03,1230,3072,1841,0,0,0,0,0,32
1677129747184,20,0.03,712,3072,2359,0,0,0,0,0,32
1677129807184,20,0.03,799,3072,2272,0,0,0,0,0,32
1677129867184,20,0.04,889,3072,2182,0,0,0,0,0,32
1677129927185,20,0.03,973,3072,2098,0,0,0,0,0,32
1677129987193,20,0.03,1053,3072,2018,0,0,0,0,0,32
1677130047186,20,0.04,1138,3072,1933,0,0,0,0,0,32
1677130107184,20,0.03,1233,3072,1838,0,0,0,0,0,32
1677130167186,20,0.03,1319,3072,1752,0,0,0,0,0,32
1677130227184,20,0.03,1401,3072,1670,0,0,0,0,0,32
1677130287193,20,0.04,1484,3072,1587,0,0,0,0,0,32
1677130347184,20,0.03,1564,3072,1507,0,0,0,0,0,32
1677130407196,20,0.03,1650,3072,1421,0,0,0,0,0,32
1677130467184,20,0.03,1738,3072,1333,0,0,0,0,0,32
1677130527185,20,0.04,688,3072,2383,0,0,0,0,0,32
1677130587184,20,0.03,768,3072,2303,0,0,0,0,0,32
1677130647186,20,0.03,849,3072,2222,0,0,0,0,0,32
1677130707185,20,0.03,929,3072,2142,0,0,0,0,0,32
1677130767185,20,0.03,1011,3072,2060,0,0,0,0,0,32
1677130827187,20,0.03,1092,3072,1979,0,0,0,0,0,32
1677130887188,20,0.03,663,3072,2408,0,0,0,0,0,32
1677130947184,20,0.03,748,3072,2323,0,0,0,0,0,32
1677131007205,20,0.03,832,3072,2239,0,0,0,0,0,32
1677131067189,20,0.03,918,3072,2153,0,0,0,0,0,32
1677131127186,20,0.03,1000,3072,2071,0,0,0,0,0,32
1677131187186,20,0.03,1082,3072,1989,0,0,0,0,0,32
1677131247187,20,0.03,1166,3072,1905,0,0,0,0,0,32
1677131307186,20,0.05,1250,3072,1821,0,0,0,0,0,32
1677131367193,20,0.03,1337,3072,1734,0,0,0,0,0,32
1677131427187,20,0.04,1420,3072,1651,0,0,0,0,0,32
